"id","age","gender","language","level_education","profession","subject"
"ID_XGS73O0XJA","63","male","german","degree","retired","no_student"
"ID_G80GTXPS9B","19","male","german","higher","pupil","no_student"
"ID_W15YXLE4QF","22","male","german","degree","employed_full","no_student"
"ID_LISU7ZNRJB","29","male","not_german","higher","student","subject07"
"ID_EY5MYDEAMH","27","male","german","degree","student","subject03"
"ID_KL4TVICVCT","24","male","german","degree","student","other"
"ID_1BPR7LEAL4","19","male","german","higher","employed_full","no_student"
"ID_KJUUGEII0L","35","male","german","no_level","employed_full","no_student"
"ID_8FJT1TWFYF","25","male","german","vocation_train","other","no_student"
"ID_8B7VG4BD1J","33","male","german","degree","employed_full","no_student"
"ID_ARXKBKK658","27","male","german","degree","employed_full","no_student"
"ID_MSC5G80MXJ","30","male","german","degree","employed_full","no_student"
"ID_ROCS9OMKHE","27","female","fluent_german","degree","student","subject07"
"ID_JYAJ164HBG","22","male","german","degree","student","other"
"ID_E97Z6SQM9G","24","male","german","degree","employed_full","no_student"
"ID_0CEGQ7PNCX","35","female","fluent_german","higher","employed_self","no_student"
"ID_8JF6W68KMZ","21","female","german","vocation_train","employed_full","no_student"
"ID_IHVF03J3AF","23","male","german","vocation_train","employed_full","no_student"
"ID_BGZTQ0GG1X","39","male","german","degree","employed_full","no_student"
"ID_BDKH1UBT48","26","male","german","degree","employed_part","no_student"
"ID_UTIZ5PGMZW","23","female","german","degree","student","other"
"ID_7U2X715SXI","42","female","fluent_german","degree","employed_full","no_student"
"ID_FB5SC6Q6X4","25","male","fluent_german","higher","student","subject03"
"ID_CKBPQX3N8D","28","male","german","vocation_train","employed_full","no_student"
"ID_DHXCRK3RDP","22","male","german","higher","student","subject03"
"ID_MT6P7ZDV2N","31","male","german","degree","employed_full","no_student"
"ID_PY9E040B5W","30","female","german","degree","unemployed","no_student"
"ID_ATXVP32BHN","29","male","german","vocation_train","employed_full","no_student"
"ID_GIOUY7YO6T","40","male","german","degree","employed_full","no_student"
"ID_DW5PTDIP4J","23","male","german","degree","student","subject07"
"ID_HY8U5PGYS8","24","female","german","degree","student","other"
"ID_88SKPI1XJO","32","male","german","degree","employed_full","no_student"
"ID_BY3FVB6E6C","20","male","german","higher","student","subject11"
"ID_DDLHMVB4ML","31","male","fluent_german","secondary","employed_part","no_student"
"ID_HK5VCSPSIM","28","female","fluent_german","degree","student","subject01"
"ID_6SZWDP0P72","29","male","german","degree","employed_full","no_student"
"ID_FOXS0KC3OD","29","male","fluent_german","higher","employed_full","subject03"
"ID_5WXDO9CU7F","38","male","fluent_german","degree","employed_part","no_student"
"ID_ZZ5T5KVD0T","40","male","german","degree","employed_full","no_student"
"ID_TOXCR3W149","22","male","german","vocation_train","employed_self","other"
"ID_IQTE04H92U","21","male","german","degree","student","other"
"ID_Y4QTF1SDIX","28","male","german","degree","employed_full","no_student"
"ID_FHUXCN0MSC","33","female","german","vocation_train","employed_part","no_student"
"ID_WF0FWF3RZ1","33","female","german","higher","unemployed","no_student"
"ID_JNWWV2K4BD","27","male","german","higher","unemployed","no_student"
"ID_OW9ZG6SPVQ","27","female","german","higher","unemployed","no_student"
"ID_UUOXNG0Z3O","31","male","german","degree","employed_full","no_student"
"ID_OY7PMXF80P","23","non-binary","german","higher","apprentice","no_student"
"ID_SR20954QYI","23","male","german","higher","student","other"
"ID_URY75YEEYJ","29","female","fluent_german","degree","employed_full","no_student"
"ID_8A2NVF1CV8","38","male","german","other","employed_full","no_student"
"ID_6QMYRYJ2ID","34","male","german","degree","employed_full","no_student"
"ID_O8R3DUWQPO","19","female","not_german","higher","pupil","other"
"ID_UXJL5B76YN","26","male","german","degree","student","subject03"
"ID_2EY4N9T4MC","32","male","german","higher","employed_full","no_student"
"ID_F6XV6JSHLK","29","male","german","vocation_train","unemployed","no_student"
"ID_U7EDBY4H6O","21","female","german","higher","student","subject07"
"ID_UM8BDBXZYU","26","male","fluent_german","higher","student","other"
"ID_YMJ7PKXCG3","30","male","german","higher","student","subject03"
"ID_U5FZTWOKCY","35","male","not_german","degree","employed_full","no_student"
"ID_NLPC2YX45I","21","male","german","secondary","unemployed","no_student"
"ID_XZ3X1W2OJ8","27","male","german","degree","employed_full","no_student"
"ID_P5DS82IEEX","23","male","german","vocation_train","employed_full","no_student"
"ID_2M5QLG0DER","40","male","german","degree","employed_full","no_student"
"ID_ED4RPW1T2N","30","male","fluent_german","degree","employed_part","subject03"
"ID_0GN5N1TAG1","20","male","german","higher","student","subject03"
"ID_542LNPOBAC","30","male","german","degree","employed_part","subject01"
"ID_W289I88TVV","32","female","german","degree","employed_full","no_student"
"ID_YINSZP4MCK","27","male","german","higher","student","subject04"
"ID_1L8DZMCO7D","24","female","german","degree","student","subject03"
"ID_HLVWCDULXM","22","male","german","higher","student","subject03"
"ID_F7UAQMZBHY","29","female","german","higher","employed_part","subject03"
"ID_GDY335JWI6","29","female","german","degree","employed_part","no_student"
"ID_AHSRBV9DNK","34","male","german","degree","employed_full","no_student"
"ID_TFESR7UTZ5","26","male","german","degree","student","subject10"
"ID_QMZB59EWT1","29","male","german","degree","student","subject03"
"ID_KTT7IMECZQ","25","female","german","vocation_train","employed_full","no_student"
"ID_3DJ0GJO69M","30","male","fluent_german","degree","employed_full","no_student"
"ID_1SP93E5QZE","26","male","german","vocation_train","employed_full","no_student"
"ID_2260V6976P","27","male","german","higher","employed_full","no_student"
"ID_D1VTCMQYN3","33","male","german","degree","employed_full","no_student"
"ID_BKU9G7QW1I","28","male","german","degree","employed_part","no_student"
"ID_VRB9WWP46Z","23","female","german","higher","student","other"
"ID_2MV216U4QI","32","male","german","degree","employed_full","subject11"
"ID_4QJHCFYM6L","24","male","german","higher","student","subject04"
"ID_U8FF8MKTRO","25","male","german","degree","student","subject01"
"ID_RLY5LN4ZL3","25","female","fluent_german","degree","student","other"
"ID_5NKLXPNKO4","33","female","fluent_german","higher","homemaker","no_student"
"ID_MGFXRJ86QB","20","female","fluent_german","higher","student","subject01"
"ID_V8KMBFO1AB","23","male","german","vocation_train","student","subject03"
"ID_O2XLX1V6SZ","33","female","german","degree","employed_full","no_student"
"ID_COSLLIZG1O","26","male","german","higher","employed_full","no_student"
"ID_4B3EFR2YPF","26","male","german","degree","student","subject11"
"ID_HL1IIV2OEQ","32","male","german","degree","employed_self","no_student"
"ID_L0AI8K9JU9","32","female","german","degree","employed_full","no_student"
"ID_G0V85E0J2M","26","male","german","degree","apprentice","no_student"
"ID_11Z4QL9AZV","37","male","german","secondary","employed_self","no_student"
"ID_27G3KGM0SK","28","male","fluent_german","degree","employed_full","no_student"
"ID_7CABS2E7LR","27","male","german","higher","apprentice","no_student"
"ID_F9UT85PCQ5","24","male","german","higher","employed_part","no_student"
"ID_OEE12RSUXG","24","female","german","higher","student","subject03"
"ID_2A1N4L2PJ7","34","male","german","degree","employed_full","no_student"
"ID_ZO22EVAVMV","28","male","german","degree","employed_full","no_student"
"ID_GINX172LE6","26","female","fluent_german","degree","student","other"
"ID_XBKGRGH4UH","22","male","fluent_german","higher","student","subject03"
"ID_WSZ3527JAZ","28","female","german","vocation_train","employed_full","no_student"
"ID_65HG0IT72K","25","male","german","higher","student","subject03"
"ID_HBI4GEG4BT","26","female","german","degree","student","subject07"
"ID_VI561L38ZC","23","male","german","degree","employed_full","no_student"
"ID_ZR8AUN3AWS","40","female","not_german","degree","employed_self","subject01"
"ID_T4E06A279T","22","female","german","higher","student","other"
"ID_9ZHG99I0OF","25","female","german","degree","employed_part","subject08"
"ID_SZLQDS7BKP","34","male","german","other","employed_full","no_student"
"ID_S1KHWTEBEL","28","male","german","vocation_train","employed_full","no_student"
"ID_XFWJKJNP0A","29","male","german","degree","employed_full","no_student"
"ID_PUFXZHUG86","19","male","german","higher","student","subject03"
"ID_2SZ0AAIF9Y","33","male","german","degree","employed_full","no_student"
"ID_U01JNCD2YJ","26","male","german","higher","student","subject03"
"ID_HMIIVNUQKC","24","female","fluent_german","degree","employed_part","subject03"
"ID_4EL3IBIV0W","39","female","german","degree","employed_full","no_student"
"ID_OWYA1IN4PU","28","male","german","higher","employed_full","no_student"
"ID_7VRDPOX6E9","33","male","german","degree","other","no_student"
"ID_NJP8HWU1ZX","22","male","german","degree","student","subject01"
"ID_D88MGY411T","45","male","german","higher","employed_full","no_student"
"ID_Z7DYQXI3IK","35","male","german","higher","employed_full","no_student"
"ID_ZUUPXUCZW9","25","male","german","higher","employed_part","no_student"
"ID_I9QISTMMQU","20","male","german","secondary","apprentice","no_student"
"ID_RLDIU8C8VE","25","female","german","degree","student","subject04"
"ID_9TNN6A8SXK","55","female","german","higher","employed_full","no_student"
"ID_GCPDLOA78H","19","male","german","higher","pupil","no_student"
"ID_BCO1E1NQAZ","24","male","german","higher","student","subject04"
"ID_AA5E7NJPXP","31","female","german","degree","employed_part","no_student"
"ID_IE02B4NYUW","43","male","german","higher","employed_full","no_student"
"ID_V5CS6DMAE8","31","female","german","degree","employed_full","no_student"
"ID_WBTNJU6511","31","female","german","degree","employed_self","no_student"
"ID_C84W8ZY8QZ","40","female","not_german","degree","student","subject01"
"ID_UX7TCT7O3M","27","non-binary","german","higher","unemployed","no_ans"
"ID_DA7WNR6UUJ","36","male","german","secondary","other","no_student"
"ID_P9321MGRAD","27","female","german","degree","employed_part","subject08"
"ID_L3VAL1LYYH","21","male","german","higher","student","other"
"ID_JMBKE1GO4N","27","male","german","degree","student","subject01"
"ID_7MDFWYPVZN","21","female","german","higher","student","other"
"ID_F9FT6KKUUQ","28","female","german","degree","student","subject08"
